metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	29.5	33.8	34.6	35.5	34.2	33.6	33.2	32.2	32.7	33.1	32.8	28.5	35.5 
Average high °C	23.4	24.4	27.6	28.7	28.0	27.1	26.8	27.5	27.2	27.2	26.9	23.5	26.4 
Average low °C	11.7	13.3	16.5	17.7	19.1	19.9	20.0	20.4	19.9	19.1	16.2	12.9	17.2 
Record low °C	6.1	7.3	9.6	11.7	12.2	15.2	12.0	16.2	16.7	13.5	10.0	8.0	6.1 
Average rainfall mm	9.2	24.6	81.3	150.6	306.1	284.7	329.1	338.7	321.1	176.8	52.1	15.9	2092 
Average rainy days	0.7	2.1	4.3	8.2	13.6	17.0	18.7	19.0	14.9	9.5	2.7	0.9	111.4
