metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Average high °C	17	22	29	35	39	38	33	32	32	30	25	20	29 
Average low °C	5	8	14	18	23	25	25	24	23	15	9	6	16 
Average precipitation mm	51	33	34	9	20	94	482	495	219	76	9	17	1539 
Average rainy days	3	2	3	1	2	7	15	16	8	2	0	1	60
Mean daily sunshine hours	6	7	8	9	9	7	6	6	7	8	8	7	7
