metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C 	33.0 	37.6 	40.7 	44.4 	46.0 	45.6 	41.2 	35.6 	37.4 	39.6 	35.3 	32.8 	46.0 
Average high °C 	25.1 	28.2 	33.7 	38.5 	40.8 	37.3 	30.9 	28.9 	31.0 	32.4 	29.4 	26.4 	31.9 
Average low °C 	10.8 	12.9 	17.5 	22.1 	26.2 	25.7 	23.6 	22.8 	22.0 	18.9 	14.8 	11.3 	19.0 
Record low °C 	0.6 	1.7 	6.1 	12.2 	16.7 	19.5 	19.0 	16.8 	13.8 	11.7 	6.1 	1.0 	0.6 
Average rainfall mm 	14.7 	9.8 	11.9 	4.8 	19.8 	127.9 	339.6 	352.1 	168.7 	38.9 	11.4 	10.5 	1,110.2 
Average rainy days	1.2	1.0	0.8	0.4	1.6	7.0	13.8	13.9	8.1	2.1	0.8	0.5	51.1
Average relative humidity  	40	30	21	18	21	45	71	76	65	42	40	40	43
Mean monthly sunshine hours	279.0	271.2	285.2	303.0	303.8	195.0	108.5	105.4	192.0	275.9	270.0	263.5	2,852.5
Mean daily sunshine hours	9.0	9.6	9.2	10.1	9.8	6.5	3.5	3.4	6.4	8.9	9.0	8.5	7.8
