metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	24.9	26.1	28.1	30.2	29.5	29.5	28.2	28.4	28.8	27.8	24.5	22.5	30.2 
Average high °C	14.9	17.0	21.0	23.2	23.4	24.0	23.9	24.1	23.3	21.6	19.1	16.0	21.0 
Average low °C	5.9	7.5	11.1	13.8	15.5	17.4	17.9	17.7	16.7	14.3	10.5	7.2	13.0 
Record low °C	-0.9	-2.4	2.7	6.6	8.5	10.0	12.3	10.0	10.7	6.7	-0.5	-3.3	-3.3 
Average rainfall mm	13.6	19.3	46.0	129.0	266.6	428.7	496.5	310.5	276.6	211.8	38.8	12.8	2250.4 
Average rainy days	1.6	2.3	4.1	9.7	15.8	18.1	17.9	16.7	15.7	8.4	2.1	1.1	113.5
Average relative humidity	87	76	68	72	81	86	87	88	90	90	88	89	84
Mean monthly sunshine hours	223.2	223.2	232.5	219.0	170.5	108.0	99.2	108.5	102.0	176.7	216.0	235.6	2114.4
Mean daily sunshine hours	7.2	7.9	7.5	7.3	5.5	3.6	3.2	3.5	3.4	5.7	7.2	7.6	5.8
