metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
average low	15	17	20	22	22	24	23	22	21	21	18	17	20
average high	29	33	35	37	34	29	28	28	30	31	29	28	31
average precipitation	1	1	8	15	128	768	871	587	257	154	37	9	2836
Humidity	62	66	73	75	78	91	92	92	89	84	71	60	78
average Rainy days	0	0	1	2	9	21	22	21	17	12	4	1	110
