metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	28.6	31.2	37.2	40.8	43.1	43.9	40.6	37.2	36.6	36.1	30.6	27.4	43.1 
Average high °C	19.8	22.1	26.8	32.3	34.8	34.2	30.7	30.0	29.9	28.8	25.3	21.5	28.0 
Average low °C	6.2	8.4	12.5	16.8	20.6	22.7	23.1	22.6	20.8	15.6	10.8	7.2	15.6 
Record low °C	-1.1	-1.1	2.2	7.2	11.3	13.1	13.2	18.0	14.3	8.4	2.8	0.0	-1.1 
Average rainfall mm	41.5	58.2	53.1	34.5	61.5	231.7	642.5	686.4	298.3	44.4	7.7	23.8	2183.5 
Average rainy days	2.9	3.9	3.6	2.9	4.5	9.6	20.5	21.5	11.9	2.2	0.5	1.5	85.7
Average relative humidity	65	56	45	34	37	53	78	82	76	65	67	69	61
