metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	36.6	40.1	42.8	45.0	47.7	47.2	42.3	38.4	41.1	40.0	36.9	33.7	47.7 
Average high °C	28.8	31.8	35.3	37.2	37.2	35.1	32.5	32.0	32.7	32.6	30.9	28.9	32.9 
Average low °C	14.7	17.8	21.4	23.9	25.0	24.8	24.0	24.1	24.0	22.3	18.3	14.5	21.2 
Record low °C	5.8	8.5	13.0	13.5	16.5	17.0	18.2	17.5	17.0	14.0	10.0	7.5	5.8 
Average rainfall mm	13.7	23.3	28.2	41.7	96.3	211.9	339.0	396.8	250.8	143.0	42.7	4.8	1,592 
Average rainy days	0.8	1.8	2.0	2.6	5.1	10.8	14.6	16.2	12.0	6.3	1.9	0.5	74.3
Average relative humidity	54	50	52	58	61	70	79	81	79	71	63	57	65
