metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	8.3	12.8	19.4	23.9	28.9	34.8	34.0	34.2	30.6	25.6	20.0	12.8	34.8 
Average high °C	-2.0	1.5	6.5	12.3	16.2	21.8	25.0	25.3	21.7	14.6	7.9	2.3	12.8 
Average low °C	-14.4	-11.0	-5.9	-1.1	3.2	7.4	10.5	10.0	5.8	-1.0	-6.7	-11.8	-1.3 
Record low °C	-28.3	-26.4	-19.4	-12.8	-4.4	-1.1	0.6	1.5	-4.4	-8.5	-17.5	-25.6	-28.3 
Average rainfall mm	9.5	8.1	11.0	9.1	9.0	3.5	15.2	15.4	9.0	7.5	3.6	4.6	105.5 
Average rainy days	1.3	1.1	1.3	1.0	1.1	0.4	2.1	1.9	1.2	0.4	0.5	0.7	13.0
Average relative humidity	51	51	46	36	30	26	33	34	31	27	40	46	38
