metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	29.9	29.9	31.9	32.4	35.0	33.6	34.1	31.4	30.2	31.1	30.1	29.9	35.0 
Mean maximum °C	20.9	21.6	24.3	26.1	27.1	27.6	27.6	27.5	27.1	26.3	24.5	21.9	29.3 
Average high °C	18.9	18.3	21.1	23.9	25.0	25.3	25.4	25.5	25.2	24.2	22.6	19.8	22.9 
Average low °C	8.4	9.2	11.4	13.8	14.7	15.0	15.9	16.3	16.1	14.3	12.0	9.6	13.1 
Mean minimum °C	5.6	6.6	8.6	11.3	12.3	12.8	13.8	13.6	13.6	12.0	9.7	7.5	5.4 
Record low °C	0.4	1.2	3.8	6.4	4.4	4.6	6.4	7.4	5.9	6.0	3.9	-0.6	-0.6 
Average rainfall mm	17.7	24.3	30.3	96.3	146.5	352.6	646.0	402.8	370.3	80.6	5.3	7.3	2180.1 
Average rainy days	1.2	1.9	2.6	5.7	9.7	14.2	21.0	15.5	11.8	3.2	0.5	0.6	87.9
Average relative humidity	90	88	87	87	89	89	90	88	90	89	89	91	89
