metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	33.2	35.2	37.2	41.8	43.1	41.7	40.7	40.2	38.6	37.9	36.3	32.5	43.1 
Average high °C	29.0	30.0	31.2	32.8	34.6	35.8	34.5	33.9	33.1	31.5	29.8	29.0	32.1 
Average low °C	21.9	22.5	23.8	25.9	26.8	26.5	25.7	25.2	24.9	24.5	23.6	22.6	24.5 
Record low °C	17.1	17.3	18.8	21.9	21.9	21.5	21.6	21.4	21.5	19.6	16.5	17.1	16.5 
Average rainfall mm	12.3	22.2	19.3	7.8	48.6	48.0	89.5	132.3	132.8	273.9	350.0	217.3	1,354 
Average rainy days	0.9	0.9	0.8	0.4	1.9	2.8	5.3	6.7	6.5	10.3	11.8	6.8	55.0
