metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	24.5	25.0	29.1	32.2	33.9	30.5	33.1	31.1	31.0	31.5	29.5	26.0	33.9 
Average high °C	15.5	17.7	21.7	23.8	23.8	24.7	25.1	25.3	24.8	23.7	20.7	17.9	22.1 
Daily mean °C	11.6	13.4	17.3	19.6	20.4	21.6	21.5	21.6	21.3	20.1	16.6	13.4	18.2 
Average low °C	8.0	9.3	11.2	15.0	16.6	17.8	18.7	18.9	17.9	16.7	13.1	9.2	14.5 
Record low °C	0.6	2.3	4.0	5.0	8.3	9.4	7.8	8.3	8.9	5.0	3.1	2.2	0.6 
Average rainfall mm	9.6	24.0	48.4	92.2	133.4	323.6	363.3	360.7	228.6	134.8	32.5	5.8	1756.9 
Average rainy days	1.2	2.5	4.5	8.3	12.2	19.0	22.1	19.3	16.4	9.1	2.3	0.6	117.5
Average relative humidity	74	67	65	70	77	85	88	88	86	83	76	71	78
