metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	28.5	33.2	34.5	36.0	37.2	38.1	37.9	37.5	37.6	36.3	33.1	30.6	38.1 
Average high °C	23.1	24.2	26.2	27.4	29.8	31.1	31.0	31.8	30.8	30.1	27.6	24.6	28.1 
Daily mean °C	16.4	18.5	21.3	23.2	25.8	27.6	27.9	28.4	27.5	25.7	21.6	17.7	23.5 
Average low °C	9.8	12.8	16.3	19.1	22.1	24.4	24.8	25.2	24.1	21.1	15.5	10.8	18.8 
Record low °C	3.4	4.8	8.1	10.8	14.1	16.5	20.6	19.5	19.7	13.3	6.5	2.7	2.7 
Average rainfall mm	27.8	63.0	117.5	232.9	307.2	408.5	525.0	410.5	351.5	127.1	21.5	16.4	2609 
Average rainy days	3.0	5.9	9.1	13.5	14.3	18.2	21.7	17.2	15.0	7.1	2.0	1.6	128.5
Average relative humidity	74	68	66	71	73	78	80	78	82	83	81	78	76
