metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	13.1	9.0	16.7	18.7	25.9	27.7	28.7	28.2	27.1	22.9	20.2	13.9	28.7 
Average high °C	6.7	6.0	9.8	14.8	22.1	25.9	26.8	26.7	25.6	21.8	16.3	12.1	17.9 
Average low °C	−16.5	−17.7	−13.8	−7.4	−0.9	2.9	5.3	6.7	1.3	−4.1	−7.7	−14.1	−5.5 
Record low °C	−19.4	−19.7	−16.1	−13.6	−1.9	−0.2	1.7	4.6	−0.1	−8.9	−10.4	−17.5	−19.7 
Average rainfall mm	78.0	92.8	141.1	88.2	71.1	25.8	60.3	42.1	55.5	24.4	25.8	35.3	740.4 
Average rainy days	6.3	5.9	8.7	6.5	5.4	2.2	5.6	4.3	3.5	2.0	1.6	3.1	55.1
Average relative humidity	74	76	75	66	62	62	74	77	64	52	54	67	67
