metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	27.8	32.0	35.0	34.5	35.6	35.6	35.7	34.0	34.5	34.2	30.7	28.9	35.7 
Average high °C	22.4	24.2	27.2	28.5	29.2	29.6	29.4	29.7	29.5	28.7	25.9	22.9	27.3 
Average low °C	4.6	7.7	12.1	15.8	18.7	21.3	21.9	21.7	20.6	17.2	11.1	6.1	14.9 
Record low °C	-2.7	-1.4	2.4	6.2	11.1	14.7	15.4	14.6	14.3	7.8	1.5	-1.7	-2.7 
Average rainfall mm	11.5	43.4	81.2	154.6	174.3	221.6	231.4	186.8	157.2	122.3	34.7	17.8	1,436.7 
Average rainy days	1.1	3.3	6.1	10.3	11.8	15.4	16.1	12.9	10.2	7.3	2.4	1.0	97.9
Average relative humidity	60	54	53	62	69	77	79	79	80	78	74	70	70
