metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	31.7	32.1	34.2	34.2	35.0	32.2	28.9	31.0	30.0	30.3	28.5	29.0	35.0 
Average high °C	26.4	28.2	29.8	29.4	27.5	23.3	21.6	21.6	23.6	25.0	25.3	25.3	25.6 
Average low °C	12.4	13.1	15.0	17.5	18.1	17.6	17.2	17.2	17.1	16.9	15.6	13.2	15.9 
Record low °C	4.8	5.1	7.6	10.6	9.4	9.2	8.8	9.5	10.0	10.6	7.9	5.5	4.8 
Average rainfall mm	1.6	3.0	15.0	65.3	128.7	646.3	952.5	821.0	274.7	211.0	70.8	20.0	3210 
Average rainy days	0.2	0.3	1.6	5.0	7.8	22.2	27.0	26.2	16.2	12.2	4.4	1.1	124.1
Average relative humidity	58	55	57	69	77	90	93	93	88	83	74	65	76
