metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	21.1	23.3	26.1	29.1	34.4	31.7	29.4	25.6	27.2	28.1	25.0	23.3	34.4 
Average high °C	10.3	11.2	15.7	20.6	23.0	23.2	20.9	20.5	19.8	18.6	15.5	12.7	17.6 
Average low °C	2.8	3.4	7.1	11.5	14.3	15.6	15.0	14.8	13.6	11.1	7.6	4.5	10.0 
Record low °C	-5.0	-6.7	-2.5	-1.5	3.7	4.1	11.7	7.4	1.3	2.6	-2.1	-3.9	-6.7 
Average rainfall mm	49.9	65.2	73.1	56.2	69.0	200.9	629.6	548.0	264.5	55.5	14.9	10.1	2036.8 
Average rainy days	4.1	5.0	5.1	3.8	5.0	9.5	22.4	21.3	11.6	2.7	0.9	1.3	92.7
Average relative humidity	78	75	66	56	58	70	85	87	85	78	75	75	74
