metric	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec	year
average low	7	10	14	19	23	26	27	26	23	17	12	8	17.66666667
average high	19	22	27	35	38	38	34	33	33	31	26	22	29.83333333
Average rainfall mm	73	110	97	89	91	217	488	443	202	42	19	31	1902
Average relative Humidity	58	59	54	49	52	65	87	87	77	62	53	51	62.83333333
average Rainy days	6	8	9	10	14	17	22	22	17	7	3	3	138
