metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C 	34.5 	36.5 	38.0 	36.5 	35.0 	33.0 	30.5 	31.2 	34.0 	32.0 	32.5 	33.0 	38.0 
Average high °C 	29.4 	30.3 	31.3 	31.4 	30.0 	25.6 	23.7 	23.7 	25.5 	27.4 	28.5 	29.0 	28.0 
Average low °C 	11.4 	12.3 	14.8 	17.6 	18.7 	18.0 	17.6 	17.7 	17.4 	17.1 	14.9 	12.1 	15.8 
Record low °C 	3.2 	4.0 	4.7 	8.2 	10.2 	10.7 	10.0 	10.0 	10.0 	8.7 	6.5 	3.7 	3.2 
Average rainfall mm 	3.8 	2.2 	10.6 	34.8 	181.0 	1617.3 	2432.2 	2145.8 	672.0 	289.2 	78.5 	15.1 	7482.3 
Average rainy days	0.4	0.1	0.8	2.4	7.7	25.2	30.0	29.1	20.2	12.3	4.2	0.8	133.1
Average relative humidity  	67	68	74	78	81	92	95	95	92	88	79	70	82
