metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	18.4	21.7	24.6	28.0	29.6	30.0	26.1	26.6	24.6	24.8	21.4	21.8	30.0 
Average high °C	10.9	11.9	16.1	20.7	23.2	23.4	21.7	21.0	20.5	18.8	15.3	12.8	18.0 
Average low °C	1.7	3.3	7.3	11.8	14.3	16.2	16.3	16.0	13.7	9.7	5.8	2.9	9.9 
Record low °C	-5.6	-4.3	-3.0	0.0	5.0	10.0	10.4	9.6	-1.1	4.4	0.5	-4.4	-5.6 
Average rainfall mm	82.4	66.1	57.1	33.8	72.4	339.1	685.4	556.4	346.3	54.7	7.7	23.9	2305.3 
Average rainy days	3.5	3.9	3.5	2.8	4.7	12.8	20.4	19.8	11.1	2.8	0.5	1.4	87.2
Average relative humidity	65	60	53	49	48	66	82	84	79	65	62	59	64
