metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	35.4	35.4	37.3	40.0	40.4	39.4	40.9	41.0	38.5	38.4	38.4	35.4	41.0 
Mean maximum °C	27.2	29.7	34.1	35.8	36.4	36.7	36.4	36.3	35.6	34.3	32.5	29.4	37.4 
Average high °C	24.0	26.7	30.1	31.9	32.5	32.5	32.0	32.9	32.0	31.8	29.5	26.4	30.2 
Average low °C	10.4	12.8	16.6	20.7	23.1	24.5	24.7	25.3	24.2	21.6	17.1	13.0	19.5 
Mean minimum °C	7.7	9.2	12.8	16.4	19.7	21.3	22.7	23.3	21.5	18.3	13.8	8.7	8.4 
Record low °C	3.8	2.2	7.8	10.3	11.5	15.5	18.1	18.1	17.7	15.4	9.4	5.6	2.2 
Average rainfall mm	10.3	19.2	37.5	107.4	295.1	599.8	965.7	641.4	557.4	146.7	8.0	6.6	3395.1 
Average rainy days	0.8	1.4	2.2	6.4	11.0	16.8	21.8	17.6	14.8	5.8	0.7	0.7	100.0
Average relative humidity	87	81	73	76	81	86	89	87	87	83	79	83	83
