metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	35.5	38.6	40.4	42.4	43.9	43.3	35.4	34.3	36.5	38.5	34.7	33.4	43.9 
Average high °C	29.3	31.5	35.2	37.6	37.6	33.1	28.8	27.7	29.6	31.9	30.7	29.1	31.8 
Average low °C	10.4	12.0	15.8	19.3	21.9	22.7	22.0	21.2	20.4	17.7	13.7	10.7	17.3 
Record low °C	0.4	0.6	5.7	9.4	13.5	18.4	17.0	17.0	13.5	9.8	5.0	2.2	0.4 
Average rainfall mm	2.4	0.1	0.3	6.2	24.5	135.9	156.1	137.0	131.5	63.3	17.9	3.3	678.4 
Average rainy days	0.2	0.0	0.1	0.7	1.4	6.7	12.0	10.4	8.3	3.6	1.1	0.3	44.8
Average relative humidity	30	23	17	19	30	58	76	80	73	49	39	35	44
