metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C 	29.0 	30.6 	39.6 	38.8 	40.4 	38.4 	35.0 	31.1 	33.0 	33.6 	30.4 	34.2 	40.6 
Average high °C 	19.7 	22.3 	26.5 	30.6 	32.3 	30.2 	24.9 	23.5 	25.6 	27.5 	24.2 	21.5 	25.7 
Average low °C 	3.1 	5.7 	10.5 	15.3 	18.5 	18.3 	17.3 	16.6 	15.8 	11.9 	7.1 	3.8 	12.0 
Record low °C 	−5.7 	−5.8 	0.4 	4.4 	10.0 	13.0 	10.0 	10.6 	6.4 	3.4 	−0.4 	−7.4 	−7.4 
Average rainfall mm 	3.5 	1.6 	2.0 	3.0 	10.4 	61.9 	592.9 	516.3 	172.4 	17.7 	3.4 	1.0 	1,386.1 
Average rainy days	0.3	0.1	0.3	0.3	0.8	3.7	14.6	15.7	6.1	0.7	0.3	0.1	43.2
Average relative humidity  	47	38	34	32	38	55	84	90	76	53	49	49	53
