metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	35.3	38.9	42.8	43.3	43.3	41.7	36.0	35.0	36.1	37.8	36.1	35.0	43.3 
Average high °C	29.8	32.1	35.6	37.6	36.9	31.9	28.3	27.6	29.4	31.5	30.4	29.2	31.7 
Average low °C	11.2	12.2	15.7	19.6	22.6	23.1	22.4	21.7	20.9	18.4	14.5	11.5	17.8 
Record low °C	1.7	3.9	7.2	10.6	13.8	17.0	18.9	17.2	13.2	9.4	4.6	3.3	1.7 
Average rainfall mm	1.1	0.3	2.2	8.5	26.8	173.4	181.4	145.2	146.1	86.3	25.0	7.0	803.0 
Average rainy days	0.2	0.1	0.2	0.8	1.9	9.5	12.4	9.8	8.0	4.4	1.2	0.3	48.7
Average relative humidity	34	26	21	24	37	66	76	79	73	53	43	39	47
Mean monthly sunshine hours	294.5	282.5	300.7	303.0	313.1	183.0	114.7	111.6	177.0	244.9	264.0	279.0	2868
Mean daily sunshine hours	9.5	10.0	9.7	10.1	10.1	6.1	3.7	3.6	5.9	7.9	8.8	9.0	7.9
