metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	29.6	35.7	38.6	40.1	40.3	38.5	37.5	38.0	37.8	37.0	33.0	30.9	40.3 
Average high °C	23.6	26.3	29.8	30.6	31.4	32.2	32.1	32.6	31.8	30.6	28.0	24.9	29.5 
Daily mean °C	17.3	19.8	23.1	25.4	27.0	28.7	29.0	29.2	28.4	26.4	22.7	18.7	24.6 
Average low °C	11.0	12.8	16.4	20.3	22.9	25.2	25.8	25.8	24.9	22.3	17.3	12.5	19.8 
Record low °C	3.0	5.3	8.5	10.3	16.4	20.4	21.6	22.3	19.9	13.8	10.0	4.9	3.0 
Average rainfall mm	12.0	22.3	58.4	187.8	243.1	295.0	326.2	265.7	197.8	121.3	16.0	6.2	1751.8 
Average rainy days	1.2	2.3	4.7	10.3	13.3	14.7	16.1	12.9	9.7	5.0	1.0	0.6	91.9
Average relative humidity	70	56	50	62	70	77	80	80	81	79	77	76	72
Mean monthly sunshine hours	225.5	213.8	220.1	200.6	191.1	133.1	123.7	161.6	139.0	205.8	230.9	231.7	2276.9
