metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	27.2	30.0	33.9	33.7	35.6	35.8	38.0	36.6	35.2	35.6	31.3	28.9	38.0 
Average high °C	23.4	25.0	27.8	29.0	31.0	31.4	31.9	31.6	31.5	30.3	28.1	25.2	28.8 
Average low °C	10.8	11.2	14.2	17.8	20.8	22.8	23.3	23.6	22.9	20.2	13.8	10.7	17.7 
Record low °C	6.6	5.2	8.8	13.6	18.7	20.0	20.5	21.3	17.4	15.6	9.8	7.4	5.2 
Average rainfall mm	33.7	67.6	106.1	226.8	468.7	633.2	577.7	503.0	492.3	241.6	19.2	11.3	3381.2 
Average rainy days	2.5	5.3	6.9	12.2	14.4	19.7	20.5	16.4	16.2	8.5	1.8	1.0	125.4
Average relative humidity	85	77	71	75	78	84	83	86	89	87	85	86	82
