metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	33.3	37.0	42.0	44.0	46.4	46.2	41.4	38.4	38.8	39.4	36.6	34.0	46.4 
Average high °C	24.6	27.7	33.4	37.8	40.2	37.6	32.2	30.5	32.5	33.5	29.6	26.0	32.1 
Average low °C	7.3	9.6	15.4	20.6	25.5	26.3	24.7	23.4	21.7	17.0	12.0	8.2	17.6 
Record low °C	-1.2	-1.3	5.1	10.0	15.2	19.0	20.0	19.0	13.4	9.4	3.4	-0.9	-1.3 
Average rainfall mm	2.4	2.7	1.4	6.8	13.8	81.3	208.8	208.5	94.8	12.8	11.2	2.2	646.7 
Average rainy days	0.2	0.4	0.2	0.6	1.2	4.5	8.8	9.8	5.1	1.0	0.7	0.3	32.8
Average relative humidity	33	26	21	19	24	43	65	72	59	35	36	38	39
