metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	31.2	36.0	41.6	45.0	48.9	47.8	42.6	40.3	42.5	40.6	37.5	32.3	48.9 
Average high °C	24.5	27.4	33.4	38.4	41.2	40.0	35.2	33.5	34.9	35.8	31.2	26.9	33.5 
Average low °C	9.6	11.7	17.3	22.6	26.5	27.8	26.4	25.4	23.9	20.1	14.7	11.2	19.8 
Record low °C	1.8	0.7	4.4	15.6	15.4	20.0	21.0	21.2	18.4	12.5	5.8	1.7	0.7 
Average rainfall mm	4.0	4.0	1.3	4.8	17.4	40.0	120.5	111.8	49.9	6.9	1.9	0.5	362.9 
Average rainy days	0.3	0.6	0.3	0.6	1.2	2.1	6.5	5.9	2.6	0.6	0.2	0.0	21.0
Average relative humidity	27	24	22	19	20	33	52	58	45	29	32	33	32
Mean monthly sunshine hours	303.8	291.0	288.3	279.0	285.2	132.0	96.1	120.9	180.0	232.5	270.0	294.5	2,773.3
Mean daily sunshine hours	9.8	10.3	9.3	9.3	9.2	4.4	3.1	3.9	6.0	7.5	9.0	9.5	7.6
