metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	32.8	36.1	37.8	39.4	39.0	37.4	35.8	33.9	33.5	35.0	32.2	32.0	39.4 
Average high °C	28.9	31.1	33.3	34.2	33.4	29.7	28.5	28.3	29.4	29.1	28.5	28.0	30.2 
Average low °C	16.3	17.5	19.4	20.9	21.0	20.1	19.6	19.6	19.6	19.7	18.6	16.8	19.1 
Record low °C	7.7	8.6	10.4	14.9	15.6	12.6	15.8	16.5	13.4	12.9	9.6	8.7	7.7 
Average rainfall mm	1.5	2.9	9.8	70.6	114.9	74.6	80.3	88.4	110.7	164.5	64.9	15.7	798.6 
Average rainy days	0.3	0.3	0.9	3.9	6.6	6.2	8.0	7.2	7.5	8.8	4.3	1.3	55.2
Average relative humidity	49	47	43	49	58	71	74	73	70	69	66	60	61
