metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	36.1	40.6	43.9	46.2	50.0	47.2	42.2	40.4	41.7	42.8	38.9	35.6	50.0 
Average high °C	28.1	30.8	35.8	39.6	41.6	38.8	33.6	32.0	33.8	35.7	32.9	29.5	34.3 
Daily mean °C	20.2	22.5	27.6	31.7	34.3	33.1	29.7	28.5	29.2	28.5	24.8	21.4	27.6 
Average low °C	12.4	14.3	19.5	23.9	27.0	27.5	25.9	25.0	24.7	21.4	16.7	13.4	21.0 
Record low °C	3.3	2.2	9.4	12.8	19.1	19.4	20.4	21.2	17.2	12.6	8.3	3.6	2.2 
Average rainfall mm	1.0	0.8	0.6	2.4	7.0	80.0	291.2	266.2	86.8	11.7	2.3	1.0	751 
Average rainy days	0.1	0.1	0.0	0.4	0.6	3.9	11.5	10.7	5.0	0.8	0.4	0.2	33.7
Average relative humidity	49	43	37	41	47	62	77	81	71	53	48	50	55
Mean monthly sunshine hours	287.3	274.3	277.5	297.2	329.6	238.3	130.1	111.4	220.6	290.7	274.1	288.6	3019.7
