metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	31.0	35.0	37.8	39.4	39.4	37.9	39.4	39.0	38.3	36.7	35.0	31.7	39.4 
Average high °C	25.3	27.6	30.4	31.0	31.6	32.1	32.2	32.7	32.3	31.6	29.6	26.7	30.3 
Daily mean °C	19.0	20.8	24.6	26.7	27.7	28.5	28.9	29.2	29.0	27.5	24.4	20.6	25.6 
Average low °C	12.2	14.2	17.9	21.1	23.1	24.9	25.3	25.4	25.0	23.0	18.6	13.9	20.4 
Record low °C	5.6	5.0	8.3	13.2	15.6	19.3	19.0	19.4	16.8	15.6	10.6	6.1	5.0 
Average rainfall mm	10.8	54.7	195.5	331.3	407.2	530.9	509.2	433.4	401.1	183.7	34.0	14.3	3106.2 
Average rainy days	1.0	3.0	8.2	13.5	16.0	20.5	22.1	18.8	16.4	7.5	2.0	0.9	129.8
Average relative humidity	66	60	60	71	75	82	82	80	80	79	74	71	73
