metric	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec	year
average low	18	20	22	24	24	22	22	22	22	22	21	19	21.5
average high	31	33	36	37	35	32	31	31	32	31	30	29	32.33333333
Average rainfall mm	8	10	38	114	248	716	653	457	268	258	110	24	2904
Average relative Humidity	63	61	69	83	88	93	94	92	90	89	81	70	81.08333333
average Rainy days	2	2	6	16	17	21	21	21	18	18	12	4	158
